FF(X) 	 FF(Y) 	 FF(Z) 	 FS(X) 	 FS(Y) 	 FS(Z) 	 CD 	 CL 
-122.37640169842025	548.6855152334836	10671.008273568299	-122.37652348420603	548.6856054586992	10671.010131010542	0.011821426814455936	0.2817035697465709
-138.87529831863552	377.84117573303206	10077.522132994758	-138.87542403531546	377.84124387963124	10077.523883542697	0.010549105513434812	0.26606901886665163
-166.77484801495376	-114.0726623976201	7776.08395477948	-166.77498344912368	-114.07265471338764	7776.0852954353595	0.006567160806376121	0.20539000661171466
-166.5815818908145	-71.6281804194818	8013.639575498757	-166.58171677756243	-71.62816757291552	8013.640958590515	0.006907300755716722	0.21165711416810346
-164.82567685746463	20.422551401774193	8460.641355604892	-164.82581046792106	20.42257578873462	8460.642819036979	0.007584063820566061	0.22344779193555425
-165.19322851170753	5.357795865440295	8394.75592029096	-165.19336233430698	5.357818320932182	8394.757371785267	0.007481444016117892	0.22171006869333926
-165.58591898464942	-12.722374631810531	8313.958933503422	-165.5860530572969	-12.722354487137856	8313.960370374278	0.0073571301916511445	0.219578972570123
-165.51609628554075	-9.173107969982205	8329.704120229202	-165.51623031046353	-9.17308737035642	8329.705559958391	0.007381178830316902	0.21999427605443958
-165.45082438216895	-5.989258644445222	8343.820601487021	-165.45095836386886	-5.989237636626434	8343.822043774544	0.007402810330820693	0.2203666161621881
-165.46714484153708	-6.788193748533445	8340.334948250693	-165.46727883400678	-6.788172843425983	8340.33638990354	0.007397463694785772	0.22027467792156202
-165.4784655790396	-7.336282078706624	8337.913483802598	-165.47859957889938	-7.336261243978576	8337.91492501675	0.00739374986409147	0.22021080889915448
-165.47518747230774	-7.167186823310935	8338.638619290887	-165.47532147000834	-7.1671659666186684	8338.64006063703	0.007394859058205172	0.2202299353733625
-165.4735205226894	-7.074265150121235	8339.047824541609	-165.47365451909786	-7.0742442816027875	8339.049265963175	0.0073954801673299635	0.22024072899868002
-165.47363706649367	-7.108838250931505	8338.908667479958	-165.47377106339837	-7.10881738677498	8338.91010887303	0.00739528082979298	0.2202370578114694
-165.47388347649263	-7.1242702990577484	8338.841807248682	-165.47401747357924	-7.124249436975951	8338.843248630468	0.00739518003122153	0.22023529419953533
-165.4737979964207	-7.117741395884934	8338.861188096314	-165.47393199344003	-7.117720532942492	8338.862629482684	0.007395209620568284	0.22023580539981635
-165.4737322572443	-7.115187823978928	8338.87546034487	-165.47386625422664	-7.115166960714404	8338.876901733627	0.007395231484086121	0.22023618184884114
-165.47373066126966	-7.116110971317909	8338.874129652297	-165.47386465825645	-7.116090108185055	8338.875571040602	0.007395229649425026	0.22023614673920708
-165.47374872356656	-7.1167130815286725	8338.870912276967	-165.47388272056176	-7.116692218470277	8338.872353664705	0.007395224635205222	0.2202360618813427
-165.47375086936398	-7.1166369168978605	8338.870708384542	-165.47388486636015	-7.11661605382745	8338.872149772284	0.007395224291029585	0.22023605650511802
