"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -5.742026664,      -5.787257587,      -5.930142967,      -5.752664259,      -5.200231234
          0,           0,          64,      -5.765672859,      -5.809825814,      -5.961575528,      -5.780986284,       -5.22376674
          0,           0,          65,      -5.789456709,       -5.83280445,      -5.993044095,      -5.809523306,      -5.247605792
          0,           0,          66,      -5.813436267,      -5.856234118,      -6.024465592,      -5.838241028,      -5.271806323
          0,           0,          67,      -5.837654433,      -5.880136286,      -6.055767756,      -5.867105311,      -5.296401219
          0,           0,          68,      -5.862132831,      -5.904509749,      -6.086880196,      -5.896078119,      -5.321392883
          0,           0,          69,      -5.886869045,      -5.929336961,      -6.117744162,      -5.925116435,      -5.346750133
          0,           0,          70,      -5.911839558,      -5.954585586,      -6.148318844,      -5.954176363,      -5.372412781
          0,           0,          71,      -5.937007302,      -5.980209369,      -6.178547594,      -5.983224095,      -5.398301958
          0,           0,          72,      -5.962321252,      -6.006144275,      -6.208374404,        -6.0122387,      -5.424321201
          0,           0,          73,      -5.987719883,       -6.03231754,      -6.237760741,       -6.04120924,        -5.4503632
          0,           0,          74,      -6.013141395,      -6.058649939,      -6.266655935,      -6.070134512,      -5.476324759
          0,           0,          75,      -6.038525109,      -6.085057549,      -6.295017378,      -6.099027615,      -5.502112192
          0,           0,          76,      -6.063815009,      -6.111456742,      -6.322809486,      -6.127913147,      -5.527648062
          0,           0,          77,      -6.088952938,       -6.13776639,      -6.350015205,      -6.156835256,      -5.552864301
          0,           0,          78,      -6.113888182,      -6.163916443,      -6.376637768,       -6.18583096,      -5.577715095
          0,           0,          79,      -6.138578701,      -6.189854969,      -6.402708225,      -6.214947033,      -5.602178694
          0,           0,          80,      -6.162994833,      -6.215551035,      -6.428294112,      -6.244228035,      -5.626260685
          0,           0,          81,      -6.187123266,      -6.240993076,      -6.453499946,      -6.273713905,       -5.64999547
          0,           0,          82,      -6.210962234,      -6.266185968,      -6.478459494,       -6.30343681,      -5.673434067
          0,           0,          83,      -6.234527598,      -6.291153008,      -6.503328339,      -6.333419926,      -5.696646236
