FF(X) 	 FF(Y) 	 FF(Z) 	 FS(X) 	 FS(Y) 	 FS(Z) 	 CD 	 CL 
-122.4855720071603	577.8396003553481	10864.63383149873	-122.4856941159438	577.8396844257928	10864.635640926426	0.012086128307323675	0.2866816053947087
-128.13655717118553	524.3906896948539	10689.334150973104	-128.13668039156957	524.3907672331602	10689.335930367948	0.011689982670334288	0.28206678137402275
-161.8776799899164	112.12880449302799	9163.73887438103	-161.87781087139368	112.12883374605478	9163.740386302396	0.008649529681970657	0.2418832005296122
-161.2494920707914	123.56103390566653	9209.794783007306	-161.24962278462854	123.5610645036619	9209.796302951056	0.008731021755276392	0.24309684546826288
-158.5928769730032	175.60546516365727	9399.72123496324	-158.59300697065026	175.60550203270506	9399.72278852875	0.009068823256504788	0.24810161019351037
-158.71061899716614	173.30505907980466	9391.8526029711	-158.71074902650105	173.30509566543978	9391.85415513348	0.00905462568274644	0.24789427416695364
-159.01785872043342	166.89664252611786	9370.37491692423	-159.01798883416387	166.89667832047508	9370.376465232574	0.009016245852933234	0.2473283238277778
-159.00121186857874	167.23882357467681	9371.524906891298	-159.00134197774372	167.23885941140668	9371.52645540525	0.009018306015562761	0.24735862649962748
-158.96855677867248	167.9497429418974	9373.853564405315	-158.9686868787169	167.94977886703808	9373.855113338865	0.009022449927636445	0.24741998899392115
-158.97079713771382	167.90289169796677	9373.697550703906	-158.97092723837665	167.90292761729285	9373.699099609512	0.009022170910859263	0.2474158779482769
