"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -6.203967007,      -6.285351357,      -6.452060777,      -6.321740881,       -5.65218067
          0,           0,          64,      -6.234890843,       -6.31761863,      -6.485731412,      -6.357709557,      -5.683238448
          0,           0,          65,      -6.266270739,      -6.350978533,      -6.518378622,      -6.393040526,      -5.714958811
          0,           0,          66,      -6.298046681,      -6.385380044,      -6.550085022,      -6.427674008,      -5.747247967
          0,           0,          67,      -6.330125056,      -6.420689011,       -6.58096609,      -6.461546524,      -5.779967988
          0,           0,          68,      -6.362385487,      -6.456690127,      -6.611159908,      -6.494595086,      -5.812946256
          0,           0,          69,       -6.39468397,      -6.493090825,       -6.64081093,      -6.526760583,      -5.845980316
          0,           0,          70,      -6.426865897,       -6.52953329,      -6.670058929,      -6.557998109,      -5.878854659
          0,           0,          71,       -6.45877472,      -6.565616612,      -6.699020092,      -6.588272411,      -5.911354195
          0,           0,          72,      -6.490257753,      -6.600930902,      -6.727782209,      -6.617561839,      -5.943274129
          0,           0,          73,      -6.521187453,      -6.635096896,      -6.756394311,      -6.645854427,      -5.974447667
          0,           0,          74,      -6.551473385,      -6.667813703,      -6.784870843,      -6.673151756,      -6.004763462
          0,           0,          75,      -6.581076458,      -6.698901219,      -6.813194104,      -6.699466373,      -6.034183715
          0,           0,          76,      -6.610003068,      -6.728329077,      -6.841312432,      -6.724823231,      -6.062736775
          0,           0,          77,      -6.638316995,       -6.75622573,      -6.869151091,      -6.749264931,      -6.090529553
          0,           0,          78,      -6.666127042,      -6.782859454,      -6.896621939,      -6.772846591,      -6.117730263
          0,           0,          79,      -6.693577167,      -6.808596476,      -6.923632726,      -6.795643915,      -6.144551705
          0,           0,          80,      -6.720833416,      -6.833852481,      -6.950095202,      -6.817757203,      -6.171232373
          0,           0,          81,      -6.748068838,      -6.859046297,      -6.975933559,      -6.839303526,      -6.198014838
          0,           0,          82,      -6.775449533,      -6.884557526,      -7.001092917,      -6.860414241,      -6.225125557
