FF(X) 	 FF(Y) 	 FF(Z) 	 FS(X) 	 FS(Y) 	 FS(Z) 	 CD 	 CL 
-122.4855720071603	577.8396003553481	10864.63383149873	-122.4856941159438	577.8396844257928	10864.635640926426	0.012086128307323675	0.2866816053947087
-128.10258652603642	524.4075632570283	10689.161710412172	-128.1027097367619	524.4076407879766	10689.163489956538	0.011690635408811222	0.2820621860915453
-161.66196999758623	112.38060059407576	9161.89702254769	-161.66210081837087	112.38062974603002	9161.898535835051	0.008652621615517513	0.2418343253567712
-161.03429941555706	123.80882136533033	9208.136209603232	-161.0344300689447	123.80885186543674	9208.137730904673	0.008734358418812234	0.2430528042209689
-158.3710870028949	175.83990572156327	9399.471226772943	-158.3712169399554	175.83994250198123	9399.472781722725	0.009074319589022332	0.2480947046176764
-158.4900876890838	173.53061256258556	9391.48188210474	-158.49021765803062	173.53064905834202	9391.483435640825	0.00905991865142204	0.24788418707733706
-158.80260955533834	167.08034496166275	9369.563181186986	-158.80273960960287	167.08038066092396	9369.56473082392	0.009020777816716112	0.24730661427574255
-158.78542521383366	167.42841714146	9370.752207082101	-158.78555526342194	167.42845288378393	9370.753756929797	0.009022907183377182	0.2473379455979848
-158.75144180504358	168.1544915533544	9373.17659004315	-158.7515718452316	168.15452738584742	9373.178140323385	0.00902722107102405	0.2474018305749932
-158.75380737771167	168.10590872672176	9373.011770928935	-158.7539374185469	168.10594455319472	9373.01332117991	0.009026926339035783	0.24739748750020904
